Region,Country
Sub-Saharan Africa,Angola
Sub-Saharan Africa,Benin
Sub-Saharan Africa,Botswana
Sub-Saharan Africa,Burkina Faso
Sub-Saharan Africa,Burundi
Sub-Saharan Africa,Cabo Verde
Sub-Saharan Africa,Cameroon
Sub-Saharan Africa,Central African Republic
Sub-Saharan Africa,Chad
Sub-Saharan Africa,Comoros
Sub-Saharan Africa,Côte d’Ivoire
Sub-Saharan Africa,Democratic Republic of the Congo
Sub-Saharan Africa,Djibouti
Sub-Saharan Africa,Equatorial Guinea
Sub-Saharan Africa,Eritrea
Sub-Saharan Africa,Eswatini
Sub-Saharan Africa,Ethiopia
Sub-Saharan Africa,Gabon
Sub-Saharan Africa,The Gambia
Sub-Saharan Africa,Ghana
Sub-Saharan Africa,Guinea
Sub-Saharan Africa,Guinea-Bissau
Sub-Saharan Africa,Kenya
Sub-Saharan Africa,Lesotho
Sub-Saharan Africa,Liberia
Sub-Saharan Africa,Madagascar
Sub-Saharan Africa,Malawi
Sub-Saharan Africa,Mali
Sub-Saharan Africa,Mauritania
Sub-Saharan Africa,Mauritius
Sub-Saharan Africa,Mozambique
Sub-Saharan Africa,Namibia
Sub-Saharan Africa,Niger
Sub-Saharan Africa,Nigeria
Sub-Saharan Africa,Republic of the Congo
Sub-Saharan Africa,Rwanda
Sub-Saharan Africa,Sao Tome and Principe
Sub-Saharan Africa,Senegal
Sub-Saharan Africa,Seychelles
Sub-Saharan Africa,Sierra Leone
Sub-Saharan Africa,Somalia
Sub-Saharan Africa,South Africa
Sub-Saharan Africa,South Sudan
Sub-Saharan Africa,Sudan
Sub-Saharan Africa,Tanzania
Sub-Saharan Africa,Togo
Sub-Saharan Africa,Uganda
Sub-Saharan Africa,Zambia
Sub-Saharan Africa,Zimbabwe
East Asia and the Pacific,Australia
East Asia and the Pacific,Brunei
East Asia and the Pacific,Burma
East Asia and the Pacific,Cambodia
East Asia and the Pacific,China
East Asia and the Pacific,Cook Islands
East Asia and the Pacific,Fiji
East Asia and the Pacific,Indonesia
East Asia and the Pacific,Japan
East Asia and the Pacific,Kiribati
East Asia and the Pacific,Laos
East Asia and the Pacific,Malaysia
East Asia and the Pacific,Marshall Islands
East Asia and the Pacific,Micronesia
East Asia and the Pacific,Mongolia
East Asia and the Pacific,Nauru
East Asia and the Pacific,New Zealand
East Asia and the Pacific,Niue
East Asia and the Pacific,North Korea
East Asia and the Pacific,Palau
East Asia and the Pacific,Papua New Guinea
East Asia and the Pacific,Philippines
East Asia and the Pacific,Samoa
East Asia and the Pacific,Singapore
East Asia and the Pacific,Solomon Islands
East Asia and the Pacific,South Korea
East Asia and the Pacific,Taiwan
East Asia and the Pacific,Thailand
East Asia and the Pacific,Timor-Leste
East Asia and the Pacific,Tonga
East Asia and the Pacific,Tuvalu
East Asia and the Pacific,Vanuatu
East Asia and the Pacific,Vietnam
Europe and Eurasia,Albania
Europe and Eurasia,Andorra
Europe and Eurasia,Armenia
Europe and Eurasia,Austria
Europe and Eurasia,Azerbaijan
Europe and Eurasia,Belarus
Europe and Eurasia,Belgium
Europe and Eurasia,Bosnia and Herzegovina
Europe and Eurasia,Bulgaria
Europe and Eurasia,Croatia
Europe and Eurasia,Cyprus
Europe and Eurasia,Czechia
Europe and Eurasia,Denmark
Europe and Eurasia,Estonia
Europe and Eurasia,Finland
Europe and Eurasia,France
Europe and Eurasia,Georgia
Europe and Eurasia,Germany
Europe and Eurasia,Greece
Europe and Eurasia,Holy See
Europe and Eurasia,Hungary
Europe and Eurasia,Iceland
Europe and Eurasia,Ireland
Europe and Eurasia,Italy
Europe and Eurasia,Kosovo
Europe and Eurasia,Latvia
Europe and Eurasia,Liechtenstein
Europe and Eurasia,Lithuania
Europe and Eurasia,Luxembourg
Europe and Eurasia,Malta
Europe and Eurasia,Moldova
Europe and Eurasia,Monaco
Europe and Eurasia,Montenegro
Europe and Eurasia,Netherlands
Europe and Eurasia,North Macedonia
Europe and Eurasia,Norway
Europe and Eurasia,Poland
Europe and Eurasia,Portugal
Europe and Eurasia,Romania
Europe and Eurasia,Russia
Europe and Eurasia,San Marino
Europe and Eurasia,Serbia
Europe and Eurasia,Slovakia
Europe and Eurasia,Slovenia
Europe and Eurasia,Spain
Europe and Eurasia,Sweden
Europe and Eurasia,Switzerland
Europe and Eurasia,Turkey (Türkiye)
Europe and Eurasia,Ukraine
Europe and Eurasia,United Kingdom
Near East (Middle East and Northern Africa),Algeria
Near East (Middle East and Northern Africa),Bahrain
Near East (Middle East and Northern Africa),Egypt
Near East (Middle East and Northern Africa),Iran
Near East (Middle East and Northern Africa),Iraq
Near East (Middle East and Northern Africa),Israel
Near East (Middle East and Northern Africa),Jordan
Near East (Middle East and Northern Africa),Kuwait
Near East (Middle East and Northern Africa),Lebanon
Near East (Middle East and Northern Africa),Libya
Near East (Middle East and Northern Africa),Morocco
Near East (Middle East and Northern Africa),Oman
Near East (Middle East and Northern Africa),Palestinian Territories
Near East (Middle East and Northern Africa),Qatar
Near East (Middle East and Northern Africa),Saudi Arabia
Near East (Middle East and Northern Africa),Syria
Near East (Middle East and Northern Africa),Tunisia
Near East (Middle East and Northern Africa),United Arab Emirates
Near East (Middle East and Northern Africa),Yemen
South and Central Asia,Afghanistan
South and Central Asia,Bangladesh
South and Central Asia,Bhutan
South and Central Asia,India
South and Central Asia,Kazakhstan
South and Central Asia,Kyrgyzstan
South and Central Asia,Maldives
South and Central Asia,Nepal
South and Central Asia,Pakistan
South and Central Asia,Sri Lanka
South and Central Asia,Tajikistan
South and Central Asia,Turkmenistan
South and Central Asia,Uzbekistan
Western Hemisphere,Antigua and Barbuda
Western Hemisphere,Argentina
Western Hemisphere,The Bahamas
Western Hemisphere,Barbados
Western Hemisphere,Belize
Western Hemisphere,Bolivia
Western Hemisphere,Brazil
Western Hemisphere,Canada
Western Hemisphere,Chile
Western Hemisphere,Colombia
Western Hemisphere,Costa Rica
Western Hemisphere,Cuba
Western Hemisphere,Dominica
Western Hemisphere,Dominican Republic
Western Hemisphere,Ecuador
Western Hemisphere,El Salvador
Western Hemisphere,Grenada
Western Hemisphere,Guatemala
Western Hemisphere,Guyana
Western Hemisphere,Haiti
Western Hemisphere,Honduras
Western Hemisphere,Jamaica
Western Hemisphere,Mexico
Western Hemisphere,Nicaragua
Western Hemisphere,Panama
Western Hemisphere,Paraguay
Western Hemisphere,Peru
Western Hemisphere,Saint Kitts and Nevis
Western Hemisphere,Saint Lucia
Western Hemisphere,Saint Vincent and the Grenadines
Western Hemisphere,Suriname
Western Hemisphere,Trinidad and Tobago
Western Hemisphere,Uruguay
Western Hemisphere,Venezuela
